name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
melbourne,2024-05-10,61.9,55.5,58,61.9,55.5,58,57.2,97.2,0.566,100,12.5,rain,0,0,10.7,3.6,209.4,1029.2,98.8,5.9,51,4.3,3,10,2024-05-10T07:09:17,2024-05-10T17:23:33,0.06,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-05-11,65.9,51.8,59,65.9,51.8,59,53.7,84.1,0.07,100,4.17,rain,0,0,18.3,8.2,120.5,1026.9,85.3,7.2,66.7,5.6,3,10,2024-05-11T07:10:10,2024-05-11T17:22:37,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-05-12,65,45.2,54.3,65,44.1,54.1,51,89.8,0,0,0,,0,0,9.6,5.4,232.7,1023.5,28.2,9.7,121.5,10.6,5,10,2024-05-12T07:11:02,2024-05-12T17:21:43,0.13,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"95874099999,C9254,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-05-13,64.4,44.6,56,64.4,42.4,55.6,50.5,83.2,0,0,0,rain,0,0,16.3,7.1,243.8,1022.8,42.8,10.7,105,9,5,10,2024-05-13T07:11:54,2024-05-13T17:20:51,0.16,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"C9254,95874099999,94866099999,95936099999,C7520,95866099999,94865099999,94864099999"
melbourne,2024-05-14,61.6,48.5,55.8,61.6,48.5,55.8,45.1,68.5,0,0,0,,0,0,16.6,6.5,233,1028,62.2,10.5,62,5.2,3,10,2024-05-14T07:12:46,2024-05-14T17:19:59,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C9254,95874099999,94866099999,95936099999,C7520,95866099999,94865099999,94864099999"
melbourne,2024-05-15,62.6,42.1,51.5,62.6,41,51.2,45.7,82.6,0,0,0,,0,0,12.3,6.8,336.8,1029,42.1,10.6,92.2,8,5,10,2024-05-15T07:13:37,2024-05-15T17:19:10,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"C9254,95874099999,94866099999,95936099999,C7520,95866099999,94865099999,94864099999"
melbourne,2024-05-16,63.7,43.2,51.9,63.7,40.5,51.4,46.4,83.5,0,0,0,,0,0,8.9,4.8,45.6,1028.5,4.5,9.9,41.8,3.5,5,10,2024-05-16T07:14:28,2024-05-16T17:18:22,0.26,Clear,Clear conditions throughout the day.,clear-day,"C9254,95874099999,94866099999,95936099999,C7520,95866099999,94865099999,94864099999"
melbourne,2024-05-17,59.8,43.1,52.2,59.8,43.1,52,46.9,83.2,0.001,100,4.17,rain,0,0,27.7,10.9,200.8,1027.3,66.6,9.4,36.1,3,2,10,2024-05-17T07:15:18,2024-05-17T17:17:35,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"C9254,95874099999,94866099999,95936099999,C7520,95866099999,94865099999,94864099999"
melbourne,2024-05-18,56.9,43.1,50.2,56.9,43.1,49.4,37.2,62.2,0.081,100,4.17,rain,0,0,25.5,8.4,165.6,1031.2,54.2,10.3,118.9,10.3,5,10,2024-05-18T07:16:08,2024-05-18T17:16:50,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,C9254,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-05-19,58.5,44.1,52.7,58.5,44.1,52.3,46.5,79.5,0.003,100,8.33,rain,0,0,29.5,7.8,280.7,1024.8,90.9,9.5,37.6,3.1,2,10,2024-05-19T07:16:57,2024-05-19T17:16:07,0.35,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"95874099999,C9254,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-05-20,58.1,48,52.9,58.1,46,52.7,49.5,88.5,0.119,100,8.33,rain,0,0,20.1,7.3,228.1,1027.2,73.8,7.5,54.9,4.9,3,10,2024-05-20T07:17:46,2024-05-20T17:15:25,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"C9254,95874099999,94866099999,95936099999,C7520,95866099999,94865099999,94864099999"
melbourne,2024-05-21,57.7,44.4,51.3,57.7,44.4,51.3,47.3,87.2,0.033,100,8.33,rain,0,0,16.3,6.8,208.2,1029.8,84.9,9,59,5,5,10,2024-05-21T07:18:35,2024-05-21T17:14:45,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"C9254,95874099999,94866099999,95936099999,C7520,95866099999,94865099999,94864099999"
melbourne,2024-05-22,60.3,41.2,50.5,60.3,38.2,49.6,46.4,87,0.015,100,8.33,rain,0,0,13.2,5.7,38.4,1028,62.1,11.1,54.9,4.7,4,10,2024-05-22T07:19:23,2024-05-22T17:14:07,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"95874099999,C9254,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-05-23,59.1,43,52.4,59.1,43,52.3,48.5,87.7,0,0,0,rain,0,0,14.8,4.8,32.2,1028,88.9,10,43.7,3.7,4,10,2024-05-23T07:20:10,2024-05-23T17:13:30,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"AV396,95874099999,C9254,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-05-24,56.6,41.2,49.6,56.6,39.2,49.1,46.9,90.8,0,0,0,,0,0,11.9,5.4,75.7,1028.2,76.1,10.3,41.1,3.5,2,10,2024-05-24T07:20:56,2024-05-24T17:12:55,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C9254,95874099999,94866099999,95936099999,C7520,95866099999,94865099999,94864099999"
melbourne,2024-05-25,60.8,46.8,52.5,60.8,46.8,52.5,49.4,90,0,0,0,,0,0,10.7,5.6,291.3,1027,59.5,8.4,90.7,7.9,5,10,2024-05-25T07:21:42,2024-05-25T17:12:21,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
